Time;Source;Destination;Length;Info;Source_Address;Destination_Address;Source.1.fix;Destination.1.fix;label
0.00145808793197066;0.00542049934296978;1;0.00542049934296978;0;0.77552138643678;0.998950799561353;0.77552138643678;0.71116722326243;0
0.00193448229210841;0.00542049934296978;1;0.00542049934296978;0;0.156895548000045;1;0.156895548000045;0.189697020005199;0
0.00225623161705006;0.0498521681997372;0.999998991152407;0.0498521681997372;00.02;0.730706189217026;0.0908093068114294;0.730706189217026;0.0181361829845714;0
0.00225623720521991;0.0129763469119579;0.999998991152407;0.0129763469119579;00.02;0.0969148683166001;1;0.0969148683166001;1;0
0.00317647397637555;0.00533837056504599;0.999998991152407;0.00533837056504599;00.02;0.0971145387064466;0.090847642981303;0.0971145387064466;0.284209977657184;0
0.0031764860124337;0.00960906701708279;0.999998991152407;0.00960906701708279;00.02;0.521690651307698;0.0908799260717229;0.521690651307698;0.0349143777203277;0
0.00322022573551745;0.0129763469119579;0.999998991152407;0.0129763469119579;00.02;0.303123217102873;0.0908304925895175;0.303123217102873;0.317953317496572;0
0.00458848749088324;0.00542049934296978;1;0.00542049934296978;0;0.651374355693283;0.0908315014360931;0.651374355693283;0.47292905122391;0
0.00461272965948604;0.00542049934296978;1;0.00542049934296978;0;0.521690651307698;0.998910445698329;0.521690651307698;0.0349143777203277;0
0.00633791237995514;0.00533837056504599;0.999998991152407;0.00533837056504599;00.02;0.584890019768463;0.998991153424378;0.584890019768463;0.160419195009136;0
0.00633791409939201;0.0440210249671485;0.999998991152407;0.0440210249671485;00.02;0.0337010492297285;0.998930622629841;0.0337010492297285;0.694002889822739;0
0.00805700059939518;0.00542049934296978;1;0.00542049934296978;0;0;0.998910445698329;0;0.409684454370803;0
0.00816520149521358;0.00542049934296978;1;0.00542049934296978;0;0.838708129542269;0.998966941106563;0.838708129542269;1;0
0.00825337322965419;0.00542049934296978;1;0.00542049934296978;0;0.730706189217026;0.0908779083785717;0.730706189217026;0.0181361829845714;0
0.00830221207175816;0.00542049934296978;1;0.00542049934296978;0;0;0.0908304925895175;0;0.409684454370803;0
0.00837395940125032;0.00542049934296978;1;0.00542049934296978;0;0.730579019862458;0.0908093068114294;0.730579019862458;0.789062379412932;0
0.00839916604498406;0.00542049934296978;1;0.00542049934296978;0;1;0.0908799260717229;1;0.206959318963279;0
0.00953993521098911;0.0629106438896189;1;0.0629106438896189;0;0.521690651307698;0.0908304925895175;0.521690651307698;0.0349143777203277;0
0.00993661286663361;0.00542049934296978;1;0.00542049934296978;0;0.271353260813786;0.0908577314470593;0.271353260813786;0.143993106346684;0
0.00996427748837073;0.00542049934296978;1;0.00542049934296978;0;0.571195181824375;0.998898339539421;0.571195181824375;1;0
0.0111639264490318;0.00542049934296978;1;0.00542049934296978;0;0.75887640507772;0.998910445698329;0.75887640507772;1;0
0.011189721054206;0.00542049934296978;1;0.00542049934296978;0;0.730706189217026;0.998950799561353;0.730706189217026;0.0181361829845714;0
