JT,BATU,TT,TWI,PERM,CH,PH,Slope2,elev3,SUNGAI2,SAWAH
3,1,1,25,4,1,6,2,1,2,1
3,5,1,12,4,1,6,2,1,1,0
7,5,1,13,4,1,2,4,1,6,1
3,1,1,14,4,1,6,1,1,1,1
1,1,1,17,4,1,4,1,1,2,1
1,1,1,15,4,1,4,1,1,2,1
3,1,1,47,4,1,6,2,1,1,1
1,1,1,13,4,1,4,1,1,2,1
1,1,1,34,4,1,4,1,1,2,1
7,5,1,13,4,1,2,1,1,6,1
1,1,1,43,4,1,4,1,1,1,1
1,1,1,32,4,1,4,1,1,2,0
7,5,2,15,4,1,2,2,1,5,1
7,5,1,44,4,1,2,2,1,6,0
1,1,1,19,4,1,4,1,1,2,1
1,1,1,51,4,1,4,1,1,7,1
3,5,1,32,4,1,6,1,1,1,1
1,1,1,15,4,1,4,1,1,1,1
1,1,1,14,4,1,4,1,1,1,1
7,5,2,43,4,1,2,2,1,1,1
7,5,2,29,4,1,2,2,1,5,0
7,1,1,10,4,1,2,1,1,1,1
7,5,2,11,4,1,2,1,1,1,0
1,1,1,19,4,1,4,1,1,2,1
7,5,2,14,4,1,2,2,1,1,0
3,5,1,14,4,1,6,2,1,6,0
3,5,2,13,4,1,6,2,1,3,1
1,1,1,12,4,1,4,1,1,1,0
3,5,2,15,4,1,6,1,1,1,0
1,1,1,43,4,1,4,1,1,1,0
1,1,1,14,4,1,4,1,1,1,0
1,1,1,14,4,1,4,1,1,1,1
1,1,1,51,4,1,4,1,1,2,1
7,1,1,42,4,1,2,2,1,1,1
1,1,1,46,4,1,4,4,1,1,1
1,1,1,14,4,1,4,1,1,4,0
7,1,1,15,4,1,2,1,1,5,0
7,5,2,14,4,1,2,3,1,3,1
4,1,1,15,4,1,8,1,1,2,1
7,5,2,13,4,1,2,1,1,2,0
1,1,1,15,4,1,4,1,1,1,1
7,1,1,12,4,1,2,3,1,9,1
1,1,1,16,4,1,4,5,1,4,0
7,5,2,12,4,1,2,2,1,3,0
7,5,2,17,4,1,2,1,1,2,0
7,1,1,13,4,1,2,1,1,7,0
7,5,2,17,4,1,2,1,1,5,0
7,5,2,25,4,1,2,1,1,5,1
7,5,2,13,4,1,2,3,1,6,1
5,1,1,18,1,1,3,1,1,2,0
4,1,1,11,4,1,8,4,1,4,0
7,5,2,11,4,1,2,2,1,10,1
1,1,1,14,4,1,4,1,1,5,1
1,1,1,13,4,1,4,2,1,2,1
7,5,2,13,4,1,2,1,1,1,1
1,5,2,12,4,1,4,4,1,2,0
7,5,1,16,4,1,2,2,1,2,0
1,1,1,39,4,1,4,1,1,5,1
7,5,1,15,4,1,2,1,1,1,0
1,5,2,10,4,1,4,5,1,7,0
1,1,1,56,4,1,4,1,1,5,1
7,5,1,14,4,1,2,3,1,2,1
1,1,1,17,4,1,4,2,1,4,0
7,5,2,14,4,1,2,1,1,1,0
7,5,1,18,4,1,2,3,1,1,0
5,5,2,14,1,1,3,3,2,6,0
7,5,1,19,4,1,2,1,1,5,0
7,5,1,12,4,1,2,2,1,4,0
7,1,2,12,4,1,2,1,1,5,0
7,5,2,49,4,1,2,1,1,1,0
7,5,2,11,4,1,2,3,1,1,0
7,1,1,40,4,1,2,2,1,2,1
1,5,1,14,4,1,4,1,1,1,0
4,1,1,17,4,1,8,2,1,5,0
7,5,2,45,4,1,2,1,1,3,1
7,5,2,31,4,1,2,1,1,2,0
5,1,1,19,1,1,3,2,1,9,0
1,5,1,12,4,1,4,2,2,5,0
1,1,2,14,4,1,4,1,1,7,1
1,5,1,43,4,1,4,1,1,2,0
7,5,1,14,4,1,2,1,2,2,0
5,1,1,19,1,1,3,1,1,3,0
7,1,1,17,4,1,2,2,1,5,0
1,5,1,12,4,1,4,2,2,4,0
7,5,2,48,4,1,2,1,1,3,0
7,5,1,32,4,1,2,1,2,4,0
7,5,2,12,4,1,2,5,2,1,1
7,5,1,50,4,1,2,2,1,1,1
7,5,2,17,4,1,2,1,2,9,1
7,1,1,14,4,1,2,2,1,5,0
7,5,1,15,4,1,2,1,2,5,0
4,1,1,13,4,1,8,1,1,6,0
5,1,1,12,1,1,3,2,1,2,0
7,5,2,11,4,1,2,3,1,3,0
7,5,2,13,4,1,2,2,1,2,0
1,5,1,43,4,1,4,3,2,1,0
7,5,2,15,4,1,2,1,1,2,0
5,1,1,15,1,1,3,1,1,1,0
5,5,1,14,1,1,3,2,2,11,0
5,1,1,37,1,1,3,2,1,3,1
5,5,1,17,1,1,3,3,2,3,0
5,1,1,14,1,1,3,1,1,2,1
4,5,1,10,4,1,8,5,1,1,0
5,1,1,14,1,1,3,1,1,2,1
7,5,1,13,4,1,2,2,2,1,0
7,5,1,18,4,1,2,2,1,6,1
5,1,1,26,1,1,3,1,1,2,0
3,1,1,14,4,1,6,2,1,2,1
7,5,1,11,4,1,2,1,2,2,0
7,5,1,35,4,1,2,1,1,1,1
1,1,1,37,4,1,4,1,1,2,1
1,1,1,11,4,1,4,5,1,1,0
7,5,1,15,4,1,2,1,1,6,0
1,1,1,19,4,1,4,1,1,1,1
7,1,2,14,4,1,2,1,1,5,1
7,4,1,14,4,1,2,1,1,10,1
7,5,2,38,4,1,2,2,1,5,1
5,5,1,9,1,1,3,8,3,1,0
5,5,1,15,1,1,3,2,2,4,0
7,1,1,44,4,1,2,1,1,3,1
5,5,2,11,1,1,3,3,2,2,0
7,5,2,14,4,1,2,1,2,5,0
3,4,1,17,4,1,6,1,1,3,1
3,1,1,17,4,1,6,4,1,1,0
5,5,2,15,1,1,3,1,2,5,0
5,5,1,15,1,1,3,1,1,5,1
3,1,1,26,4,1,6,1,1,1,1
3,4,1,19,4,1,6,1,1,3,1
3,4,1,20,4,1,6,1,1,1,1
5,5,1,18,1,1,3,1,1,3,0
5,1,1,19,1,1,3,1,1,8,0
5,5,1,14,1,1,3,1,1,1,1
8,4,2,14,2,1,1,1,1,2,0
3,1,1,14,4,1,6,1,1,3,1
3,4,1,9,4,1,6,5,1,1,1
3,1,1,17,4,1,6,2,1,3,0
1,4,2,13,4,1,4,1,1,2,0
1,1,1,51,4,1,4,2,1,1,1
3,1,1,50,4,1,6,2,1,1,1
5,5,1,12,1,1,3,3,1,3,1
5,5,1,14,1,1,3,1,1,1,0
3,1,1,14,4,1,6,1,1,2,1
3,1,1,14,4,1,6,1,1,1,0
3,1,1,14,4,1,6,3,1,3,1
7,1,1,19,4,1,2,1,1,1,0
3,1,1,15,4,1,6,1,1,2,1
3,1,1,28,4,1,6,2,1,1,1
5,1,1,51,1,1,3,2,1,2,1
5,1,1,15,1,2,3,3,1,5,0
8,4,1,14,2,1,1,2,1,3,1
7,4,1,47,4,1,2,1,1,3,1
5,1,1,49,1,1,3,2,1,1,1
8,4,1,15,2,1,1,1,1,5,1
8,1,1,14,2,1,1,1,1,2,0
8,4,1,46,2,1,1,2,1,1,1
8,1,1,23,2,1,1,1,1,3,1
3,1,1,46,4,1,6,2,1,2,1
8,4,1,47,2,1,1,2,1,1,0
2,1,1,17,3,1,5,1,1,1,0
5,1,1,16,1,2,3,2,1,2,1
5,1,1,43,1,2,3,1,1,2,0
8,4,1,18,2,1,1,1,2,2,0
8,4,2,20,2,1,1,1,2,1,0
8,4,1,29,2,1,1,1,2,3,1
8,4,1,12,2,1,1,2,2,3,1
2,1,1,48,3,1,5,4,1,1,0
8,4,1,14,2,1,1,2,2,4,1
5,3,2,12,1,1,3,2,2,1,0
5,1,1,14,1,2,3,2,2,1,1
8,4,1,13,2,1,1,2,2,3,1
8,4,2,12,2,1,1,2,2,4,0
5,3,2,10,1,1,3,4,3,1,0
8,4,1,15,2,1,1,2,2,2,0
5,1,1,19,1,1,3,2,2,1,1
5,3,2,17,1,1,3,11,3,3,0
5,1,1,12,1,1,3,2,2,1,1
5,3,2,8,1,1,3,4,3,1,1
8,4,1,14,2,1,1,1,2,2,1
2,3,2,9,3,1,5,7,3,1,0
5,1,1,15,1,1,3,3,2,1,0
8,4,1,12,2,2,1,1,2,1,1
2,1,1,14,3,1,5,1,2,4,0
2,4,1,13,3,1,5,3,2,1,0
5,4,1,18,1,1,3,1,2,1,1
2,3,1,19,3,1,5,2,3,4,0
5,4,1,14,1,2,3,1,2,1,1
2,4,1,18,3,2,5,1,2,1,1
2,4,1,12,3,2,5,1,2,1,0
2,4,1,13,3,2,5,8,2,1,1
2,4,1,14,3,2,5,3,2,1,0
2,3,2,43,3,2,5,5,3,1,0
2,3,2,6,3,2,5,7,4,1,0
2,3,2,10,3,2,5,3,4,3,0
2,3,2,13,3,2,5,4,3,1,1
2,3,2,9,3,1,5,2,4,2,0
8,2,2,12,2,1,1,14,5,4,0
2,4,3,14,3,2,5,8,3,1,0
2,3,1,19,3,2,5,2,4,1,0
2,4,1,10,3,2,5,2,3,2,0
2,3,2,9,3,1,5,7,4,1,0
2,2,2,11,3,1,5,12,5,1,0
2,3,2,8,3,1,5,8,4,2,0
2,4,1,13,3,2,5,1,3,3,0
2,3,2,10,3,1,5,12,5,3,0
8,2,2,18,2,1,1,15,5,1,0
2,2,2,10,3,1,5,4,5,1,0
2,4,1,13,3,1,5,11,4,1,0
5,4,1,8,1,1,3,8,3,1,0
2,3,2,7,3,2,5,5,5,2,1
2,3,2,20,3,2,5,11,4,1,0
2,3,2,5,3,2,5,13,4,1,1
2,3,2,7,3,1,5,9,5,1,0
5,2,1,51,1,2,3,1,4,3,1
2,3,2,6,3,2,5,12,4,3,1
4,4,1,18,4,1,8,1,3,2,1
5,2,1,9,1,2,3,4,4,1,1
4,4,1,11,4,1,8,8,4,2,0
2,3,2,12,3,1,5,7,5,2,0
5,2,2,7,1,2,3,5,4,2,1
5,3,2,9,1,2,3,6,4,3,0
5,3,2,15,1,2,3,4,4,2,1
4,2,1,7,4,1,8,5,4,2,1
4,1,3,12,4,1,8,2,3,1,0
4,2,2,19,4,1,8,1,4,3,1
4,2,3,6,4,1,8,6,3,2,0
5,2,1,12,1,1,3,2,3,3,1
5,2,3,9,1,2,3,5,4,2,1
5,3,2,12,1,1,3,4,4,1,1
5,2,3,14,1,2,3,1,4,4,0
5,1,3,14,1,1,3,3,3,2,0
5,3,3,12,1,2,3,5,4,1,1
5,1,3,10,1,1,3,6,3,3,1
5,2,2,14,1,1,3,3,4,1,0
5,1,3,12,1,1,3,5,3,1,0
5,3,3,13,1,1,3,6,4,1,0
4,1,1,14,4,1,8,3,3,1,1
5,3,3,8,1,1,3,9,4,1,1
5,3,3,8,1,1,3,4,4,2,1
4,3,1,10,4,1,8,3,3,4,1
4,3,1,14,4,1,8,13,4,1,0
5,2,2,11,1,2,3,11,4,2,1
5,3,3,12,1,1,3,7,4,1,1
4,1,1,10,4,1,8,3,3,3,0
5,3,2,8,1,1,3,7,4,2,0
5,2,1,12,1,1,3,3,4,3,1
4,3,2,10,4,1,8,5,4,3,1
5,3,2,7,1,1,3,6,4,4,0
5,3,2,14,1,1,3,6,4,2,0
2,3,2,12,3,1,5,17,5,3,0
5,3,2,6,1,1,3,12,4,2,0
5,2,1,14,1,1,3,1,4,1,1
5,3,2,8,1,1,3,6,4,4,0
5,3,2,7,1,1,3,10,4,2,1
5,1,2,13,1,1,3,5,4,2,0
7,1,2,13,4,1,2,2,4,1,1
7,3,2,14,4,2,2,12,4,2,0
7,1,2,7,4,1,2,12,5,4,0
