Source;Destination;Length;Source Address;Destination Address;Source.1;Destination.1;Address_Resolution_Protocol;Internet_Control_Message_Protocol;Transmission_Control_Protocol;Info;label
10.0.123.3;10.0.123.2;148;196.31.107.169;10.0.0.31;7a:68:3f:dd:48:d6;c6:45:25:1c:91:85;0;1;0;1;1
10.0.123.3;10.0.123.2;148;111.158.121.124;10.0.0.31;7a:68:3f:dd:48:d6;c6:45:25:1c:91:85;0;1;0;1;1
10.0.123.3;10.0.123.2;148;197.0.252.213;10.0.0.31;7a:68:3f:dd:48:d6;c6:45:25:1c:91:85;0;1;0;1;1
10.0.123.3;10.0.123.2;148;23.85.3.149;10.0.0.31;7a:68:3f:dd:48:d6;c6:45:25:1c:91:85;0;1;0;1;1
10.0.123.3;10.0.123.2;148;3.82.84.3;10.0.0.31;7a:68:3f:dd:48:d6;c6:45:25:1c:91:85;0;1;0;1;1
10.0.123.3;10.0.123.2;148;187.105.157.149;10.0.0.31;7a:68:3f:dd:48:d6;c6:45:25:1c:91:85;0;1;0;1;1
10.0.123.3;10.0.123.2;148;105.129.196.137;10.0.0.31;7a:68:3f:dd:48:d6;c6:45:25:1c:91:85;0;1;0;1;1
10.0.123.3;10.0.123.2;148;250.238.179.169;10.0.0.31;7a:68:3f:dd:48:d6;c6:45:25:1c:91:85;0;1;0;1;1
10.0.123.3;10.0.123.2;148;179.146.110.118;10.0.0.31;7a:68:3f:dd:48:d6;c6:45:25:1c:91:85;0;1;0;1;1
10.0.123.3;10.0.123.2;148;76.126.119.1;10.0.0.31;7a:68:3f:dd:48:d6;c6:45:25:1c:91:85;0;1;0;1;1
10.0.123.3;10.0.123.2;148;245.45.164.145;10.0.0.31;7a:68:3f:dd:48:d6;c6:45:25:1c:91:85;0;1;0;1;1
10.0.123.3;10.0.123.2;148;32.23.249.221;10.0.0.31;7a:68:3f:dd:48:d6;c6:45:25:1c:91:85;0;1;0;1;1
10.0.123.3;10.0.123.2;148;221.66.75.4;10.0.0.31;7a:68:3f:dd:48:d6;c6:45:25:1c:91:85;0;1;0;1;1
10.0.123.3;10.0.123.2;148;127.72.58.8;10.0.0.31;7a:68:3f:dd:48:d6;c6:45:25:1c:91:85;0;1;0;1;1
10.0.123.3;10.0.123.2;148;0.84.105.164;10.0.0.31;7a:68:3f:dd:48:d6;c6:45:25:1c:91:85;0;1;0;1;1
10.0.123.3;10.0.123.2;148;28.124.3.105;10.0.0.31;7a:68:3f:dd:48:d6;c6:45:25:1c:91:85;0;1;0;1;1
10.0.123.3;10.0.123.2;148;117.159.199.158;10.0.0.31;7a:68:3f:dd:48:d6;c6:45:25:1c:91:85;0;1;0;1;1
10.0.123.3;10.0.123.2;148;124.129.175.156;10.0.0.31;7a:68:3f:dd:48:d6;c6:45:25:1c:91:85;0;1;0;1;1
10.0.123.3;10.0.123.2;148;34.95.59.199;10.0.0.31;7a:68:3f:dd:48:d6;c6:45:25:1c:91:85;0;1;0;1;1
10.0.123.2;10.0.123.3;150;157.76.58.146;10.0.0.31;7a:68:3f:dd:48:d6;c6:45:25:1c:91:85;0;1;0;2;1
